epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.181,1.08727,2.39544,1.4703,0.77831,0.35627,0.43979,0.28653,1.23648,3.5288,1.87848,0.000541044,0.000541044,0.000541044
2,1412.07,1.10069,1.69206,1.43448,0.88045,0.03377,0.21535,0.11339,1.68846,3.83323,1.97982,0.00106052,0.00106052,0.00106052
3,1708.21,1.15214,1.58751,1.47062,0.78192,0.29275,0.30533,0.15617,2.02294,3.45257,2.23338,0.00154332,0.00154332,0.00154332
4,2390.98,1.13909,1.45264,1.4863,0.72758,0.7603,0.83431,0.53038,1.40968,2.0464,1.82392,0.00150197,0.00150197,0.00150197
5,2748.74,1.12825,1.32752,1.453,0.61316,0.42032,0.4628,0.26122,1.58243,2.35615,1.96018,0.00144696,0.00144696,0.00144696
6,3080.83,1.11605,1.24083,1.44276,0.62787,0.73707,0.73293,0.50571,1.2916,1.69916,1.84257,0.00139195,0.00139195,0.00139195
7,3437.07,1.08339,1.13651,1.40867,0.75519,0.74455,0.81592,0.58027,1.21476,1.58756,1.6075,0.00133693,0.00133693,0.00133693
8,3832.32,1.00695,1.12407,1.38115,0.74797,0.78314,0.86521,0.57556,1.23363,1.48823,1.76348,0.00128192,0.00128192,0.00128192
9,4203.79,1.05876,1.06225,1.3993,0.85973,0.74592,0.83616,0.54252,1.27731,1.35064,1.66521,0.00122691,0.00122691,0.00122691
10,4515.98,1.05322,1.0371,1.37918,0.8681,0.8178,0.87181,0.5659,1.26216,1.22129,1.7021,0.0011719,0.0011719,0.0011719
11,4817.02,1.01867,0.98561,1.34471,0.85838,0.77167,0.90404,0.65598,1.14088,1.09612,1.51512,0.00111689,0.00111689,0.00111689
12,5729.49,1.01572,1.00779,1.3295,0.81542,0.79231,0.85628,0.62824,1.08705,1.09451,1.53267,0.00106188,0.00106188,0.00106188
13,6762.55,1.00176,0.94267,1.34714,0.92589,0.79609,0.91501,0.64525,1.12947,0.96303,1.47449,0.00100687,0.00100687,0.00100687
14,7498.9,0.96769,0.88216,1.32051,0.88027,0.87011,0.92319,0.67374,1.115,0.88218,1.46642,0.000951857,0.000951857,0.000951857
15,11066.5,0.98243,0.88851,1.33788,0.86524,0.88533,0.92019,0.66057,1.08748,0.83266,1.52915,0.000896846,0.000896846,0.000896846
16,11260.1,1.03251,0.93338,1.35736,0.98095,0.8338,0.93161,0.67975,1.09991,0.78711,1.46223,0.000841835,0.000841835,0.000841835
17,11491.7,0.93413,0.78683,1.28019,0.93382,0.85016,0.93233,0.69195,1.01802,0.77918,1.42527,0.000786824,0.000786824,0.000786824
18,11703.4,0.93147,0.81172,1.30126,0.95656,0.85091,0.94749,0.70383,1.02586,0.72674,1.38726,0.000731813,0.000731813,0.000731813
19,11932.8,0.92667,0.866,1.29898,0.95677,0.86769,0.94829,0.71059,0.99684,0.70446,1.37636,0.000676802,0.000676802,0.000676802
20,12171.3,0.96483,0.84617,1.31073,0.9237,0.89445,0.93741,0.69568,1.03605,0.69596,1.3979,0.000621791,0.000621791,0.000621791
21,12407.1,0.86253,0.67807,1.26761,0.90821,0.87671,0.93788,0.7021,0.9783,0.7569,1.38671,0.00056678,0.00056678,0.00056678
22,12631.7,0.8489,0.61512,1.27232,0.9667,0.85774,0.93664,0.68912,1.00903,0.71065,1.35646,0.000511769,0.000511769,0.000511769
23,12861.9,0.85359,0.67966,1.29081,0.95137,0.88239,0.94545,0.71384,0.99787,0.68583,1.3694,0.000456758,0.000456758,0.000456758
24,13084.2,0.83923,0.58674,1.25716,0.95343,0.87185,0.95023,0.69812,1.07214,0.6734,1.44226,0.000401747,0.000401747,0.000401747
25,13313,0.81897,0.57496,1.26016,0.9486,0.88979,0.94525,0.71877,0.99594,0.61393,1.36291,0.000346736,0.000346736,0.000346736
26,13545.2,0.8085,0.56926,1.26121,0.94264,0.88955,0.94982,0.70799,1.00936,0.618,1.37281,0.000291725,0.000291725,0.000291725
27,13772.2,0.77461,0.5242,1.22138,0.92904,0.90435,0.94915,0.72328,0.96938,0.60765,1.34439,0.000236714,0.000236714,0.000236714
28,14012.1,0.80546,0.53977,1.24055,0.9577,0.87194,0.94775,0.72025,0.97387,0.63755,1.35615,0.000181703,0.000181703,0.000181703
29,14246.8,0.77813,0.50563,1.19612,0.9395,0.89352,0.95479,0.72988,0.97343,0.57799,1.34826,0.000126692,0.000126692,0.000126692
30,14469.6,0.7626,0.5025,1.20196,0.95448,0.90046,0.95647,0.73132,0.96411,0.55214,1.33072,7.1681e-05,7.1681e-05,7.1681e-05
